Date,Type,Title,Info,Currency,Amount,"Fees & Taxes",Net
"April 30, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 29, 2019",USD,--,-$0.98,-$0.98
"April 29, 2019",Transaction,"Unicorn girls First day of school chalkboard printable sign, back to school sign,Back to school chalkboard sign, 1st day Back to School Sign","transaction: 1623908429",USD,--,-$0.35,-$0.35
"April 29, 2019",Sale,"Payment for Order 1454425093",payment,USD,$6.99,-$0.46,$6.53
"April 29, 2019",Listing,"Unicorn Last Day of School Sign - Kindergarten Preschool Graduate Sign - Last Day of Homeschool Chalkboard Printable Poster - End of year","listing: 631455411",USD,--,-$0.20,-$0.20
"April 29, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 28, 2019",USD,--,-$0.99,-$0.99
"April 29, 2019",Deposit,"$6.70 sent to your bank account",,USD,--,--,--
"April 28, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 27, 2019",USD,--,-$0.98,-$0.98
"April 27, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 26, 2019",USD,--,-$0.47,-$0.47
"April 26, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 25, 2019",USD,--,-$0.99,-$0.99
"April 25, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 24, 2019",USD,--,-$0.95,-$0.95
"April 25, 2019",Transaction,"First Day Of School Sign, Back To School Sign, Kinder, First Day Of School Chalkboard, 1st Day Of School Sign, Photo Prop, Preschool Sign","transaction: 1621580973",USD,--,-$0.25,-$0.25
"April 25, 2019",Sale,"Payment for Order 1452729179",payment,USD,$4.99,-$0.40,$4.59
"April 25, 2019",Listing,"Last Day of School Chalkboard Printable Sign - Last Day of Homeschool Poster - Graduation Sign - End of Year 2020 - Personalized school sign","listing: 630708793",USD,--,-$0.20,-$0.20
"April 24, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 23, 2019",USD,--,-$0.98,-$0.98
"April 23, 2019",Transaction,"Custom order","transaction: 1620625507",USD,--,-$0.31,-$0.31
"April 23, 2019",Sale,"Payment for Order 1443224170",payment,USD,$6.25,-$0.44,$5.81
"April 23, 2019",Transaction,"First Day Of School Sign, Back To School Sign, Kinder, First Day Of School Chalkboard, 1st Day Of School Sign, Photo Prop, Preschool Sign","transaction: 1617250658",USD,--,$0.35,$0.35
"April 23, 2019",Refund,"Refund for Order 1451755979",,USD,-$6.99,$0.46,-$6.53
"April 23, 2019",Marketing,"Promoted Listings","Bill for clicks that occurred on Apr 22, 2019",USD,--,-$0.81,-$0.81
"April 23, 2019",Transaction,"Custom Watercolor Print, Calligraphy lettering personalized wall decor, Custom Watercolor Quote, Glitter foil quote, Watercolor Custom Art","transaction: 1617435012",USD,--,-$0.21,-$0.21
"April 23, 2019",Transaction,"Custom Watercolor Print, Calligraphy lettering personalized wall decor, Custom Watercolor Quote, Glitter foil quote, Watercolor Custom Art","transaction: 1620432649",USD,--,-$0.21,-$0.21
"April 23, 2019",Sale,"Payment for Order 1443083066",payment,USD,$9.14,-$0.52,$7.78
"April 23, 2019",Listing,"Custom Watercolor Print, Calligraphy lettering personalized wall decor, Custom Watercolor Quote, Glitter foil quote, Watercolor Custom Art","listing: 612671610",USD,--,-$0.20,-$0.20
